code,nom,departements,regions,population
200000172,CC Faucigny - Glières,74,84,28363
200000438,CC du Pays de Pontchâteau St-Gildas-des-Bois,44,52,36662
200000545,CC des Portes de Romilly sur Seine,10,44,18846
200000628,CC Rhône Lez Provence,84,93,24385
200000800,CC Coeur de Sologne,41,24,10230
200000925,CC de la Plaine Dijonnaise,21,27,22152
200000933,CC Sauldre et Sologne,18,24,14335
200004802,CC du Pays de Fayence,83,93,29769
200005932,CC des Portes de Sologne,45,24,15654
200005957,CC de la Région de Rambervillers,88,44,12833
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay","21,71",27,50592
200006716,CC du Nogentais,10,44,16366
200006930,CC du Haut Allier Margeride,48,76,5167
200006971,CC du Perche,28,24,17971
200007052,CC de la Marche Berrichonne,36,24,5504
200007177,CC Pays de Nérondes,18,24,4644
200010650,CA du Grand Dole,39,27,54697
200010700,CA Caux Seine Agglo,76,28,77968
200011773,CA Annemasse-Les Voirons-Agglomération,74,84,95155
200011781,CC Portes du Berry entre Loire et Val d'Aubois,18,24,9478
200013050,CC Sauer-Pechelbronn,67,44,17281
200015162,CC de l'Oriente,2B,94,6173
200016905,CC du Pays de Lamastre,07,84,6678
200017341,CC Lodévois et Larzac,34,76,14824
200017846,CA Étampois Sud Essonne,91,11,55848
200018083,CC de Desvres-Samer,62,32,23138
200018166,CC Le Grésivaudan,38,84,103196
200018406,CC du Romorantinais et du Monestois,41,24,33921
200018521,CC du Val de Bouzanne,36,24,5969
200022986,CC du Grand Pic Saint-Loup,34,76,51217
200023075,CC du Pays de Maîche,25,27,18577
200023125,CC Les Portes Briardes Entre Villes et Forêts,77,11,46241
200023240,CC Pays de Nemours,77,11,29774
200023299,CC Coeur de Tarentaise,73,84,9098
200023307,CA du Grand Villeneuvois,47,75,47899
200023372,CC de la Vallée de Chamonix-Mont-Blanc,74,84,13759
200023414,Métropole Rouen Normandie,76,28,500703
200023620,CC de la Gascogne Toulousaine,32,76,17060
200023737,CA du Grand Cahors,46,76,42094
200023778,CA du Pays de Saint-Gilles-Croix-de-Vie,85,52,53176
200023794,CC de Blaye,33,75,20458
200023919,CC Gâtinais Val de Loing,77,11,18432
200026573,CC Haut-Jura Saint-Claude,39,27,19431
200027027,CC Arc Sud Bretagne,56,53,29113
200027076,CC Arnon Boischaut Cher,18,24,7855
200027100,CC Méditerranée Porte des Maures,83,93,46540
200027183,CU Perpignan Méditerranée Métropole,66,76,277926
200027217,CC Sarlat-Périgord Noir,24,75,16168
200027308,CC d'Auberive Vingeanne et Montsaugeonnais,52,44,8097
200029734,CC des 4B Sud Charente,16,75,19940
200029999,CC Rives de l'Ain - Pays du Cerdon,01,84,14873
200030195,Métropole Nice Côte d'Azur,06,93,568596
200030385,CA de Blois ''Agglopolys'',41,24,106574
200030435,CC d'Aire-sur-l'Adour,"32,40","75,76",12922
200030526,CC du Ried de Marckolsheim,"67,68",44,20664
200030633,CA du Caudrésis et du Catésis,59,32,63265
200030658,CC du Trièves,38,84,10338
200030674,CA Val de Garonne Agglomération,47,75,60690
200032514,CC Berry-Loire-Vauvise,18,24,5427
200033025,CA de Bar-le-Duc - Sud Meuse,55,44,33485
200033090,CC Plaines et Monts de France,77,11,25662
200033116,CC Cluses-Arve et Montagnes,74,84,47034
200033173,CC de la Haute Vallée de Chevreuse,78,11,25225
200033181,CA Chartres Métropole,28,24,136921
200033298,CC des Coëvrons,53,52,26746
200033579,CU d'Arras,62,32,109781
200033827,CC de Fium'Orbu Castellu,2B,94,13280
200033868,CC des Ballons des Hautes-Vosges,88,44,14503
200034023,CC Tarn-Agout,"31,81",76,29922
200034031,CC des Monts d'Alban et du Villefranchois,81,76,6360
200034049,CC Centre Tarn,81,76,11276
200034056,CC du Lautrécois et du Pays d'Agout,81,76,14303
200034064,CC du Cordais et du Causse (4 C),81,76,5381
200034098,CC des Montagnes du Giffre,74,84,12136
200034130,CC Gally Mauldre,78,11,22529
200034197,CC de Montaigne Montravel et Gurson,24,75,11859
200034205,CC de la Costa Verde,2B,94,10939
200034270,CC du Pays de Barr,67,44,23882
200034379,CC Pays d'Uzès,30,76,30894
200034411,CC du Piémont Cévenol,30,76,22529
200034601,CC Causses Aigoual Cévennes,30,76,5391
200034635,CC du Kochersberg,67,44,26637
200034692,CA du Gard Rhodanien,30,76,75893
200034700,CA Durance-Lubéron-Verdon Agglomération,"04,83",93,63654
200034718,"CC de Vitry, Champagne et Der",51,44,23412
200034726,CC Bastides de Lomagne,32,76,11318
200034825,CA du Grand Guéret,23,75,28450
200034833,CC des Bastides Dordogne-Périgord,24,75,18601
200034874,CC Côtes de Meuse Woëvre,55,44,6011
200034882,CC Pays du Mont-Blanc,74,84,44954
200034957,CC du Frontonnais,31,76,28757
200035087,CA Terre de Provence,13,93,60440
200035103,CC de la Vallée de la Haute Sarthe,61,28,7531
200035111,CC des Sources de l'Orne,61,28,11960
200035129,CC de Cèze Cévennes,"07,30","76,84",19141
200035137,CC Marche Occitane - Val d'Anglin,36,24,6517
200035202,CC Charlieu-Belmont,42,84,23400
200035319,CA Estérel Côte d'Azur Agglomération,83,93,121390
200035327,CC Cazals-Salviac,46,76,5432
200035442,CC du Sud Artois,62,32,26936
200035533,CC du Grand Saint Emilionnais,33,75,14033
200035541,CC des Landes d'Armagnac,40,75,10743
200035632,CC Armagnac Adour,32,76,6568
200035707,CC Piège Lauragais Malepère,11,76,16299
200035715,CA Carcassonne Agglo,11,76,114411
200035723,CC Ventoux Sud,"26,84","84,93",9595
200035731,CA Roannais Agglomération,42,84,101851
200035756,CC Astarac Arros en Gascogne,32,76,7171
200035764,CC de la Beauce Loirétaine,45,24,16991
200035772,CC du Pays du Saintois,54,44,14229
200035814,CA Flers Agglo,61,28,52509
200035848,CC du Châtillonnais en Berry,36,24,5638
200035855,CC Castelnaudary Lauragais Audois,11,76,27777
200035863,"CC Région Lézignanaise, Corbières et Minervois",11,76,33313
200035970,CC Vexin Centre,95,11,25137
200036069,CC du Pays de Mortagne-au-Perche,61,28,13515
200036077,CC du Golfe de Saint-Tropez,83,93,57965
200036135,CC Coeur de France,18,24,18225
200036150,CC des Hauts du Val de Saône,70,27,8373
200036465,CC de Thann-Cernay,68,44,37567
200036473,"CA ""Saintes - Grandes Rives - L'Agglo""",17,75,60600
200036499,CC de Marana-Golo,2B,94,25474
200036523,CC des Bastides en Haut Agenais Périgord,47,75,17015
200036549,CC Val de Gray,70,27,20109
200037059,CC de la Haute Somme (Combles - Péronne - Roisel),80,32,26454
200037133,CC du Provinois,77,11,34302
200038958,CC de la Pieve de l'Ornano et du Taravo,2A,94,13293
200038990,CC de Saint-Méen Montauban,35,53,27350
200039022,CA Vitré Communauté,35,53,82956
200039055,CC Ouche et Montagne,21,27,11273
200039063,"CC Forêts, Seine et Suzon",21,27,7054
200039204,CC de Lacq-Orthez,64,75,52957
200039519,CC du Quercy Blanc,46,76,7704
200039642,CC Le Tonnerrois en Bourgogne,89,27,15138
200039709,CC du Serein,89,27,7043
200039758,"CC Avallon, Vézelay, Morvan",89,27,18488
200039808,CC des Gorges de l'Ardèche,07,84,15681
200039824,CC Ardèche des Sources et Volcans,07,84,9752
200039832,CC Pays des Vans en Cévennes,07,84,9536
200039857,CA du Pays de Grasse,06,93,101897
200039865,Metz Métropole,57,44,230314
200039907,CC du Sud Messin,57,44,17033
200039915,CA Cannes Pays de Lérins,06,93,156338
200039931,CC Alpes d'Azur,06,93,10015
200039949,CC Rives de Moselle,57,44,53122
200040038,CC Saône Doubs Bresse,71,27,12073
200040095,CC Isle Vern Salembre en Périgord,24,75,18912
200040111,CC Coeur de Chartreuse,"38,73",84,17165
200040137,CC des Lacs de Champagne,10,44,8976
200040178,CC de l'Outre-Forêt,67,44,16194
200040202,CC Provence Verdon,83,93,22923
200040210,CC Lacs et Gorges du Verdon,83,93,8984
200040244,CA du Bocage Bressuirais,79,75,74140
200040251,CC Bassée-Montois,77,11,23165
200040277,CA Agglo du Pays de Dreux,"27,28","24,28",116484
200040293,CC du Clunisois,71,27,14020
200040350,CC Bugey Sud,01,84,34086
200040384,CC Isle Double Landais,24,75,12546
200040392,CA Le Grand Périgueux,24,75,104933
200040400,CC du Périgord Ribéracois,24,75,19449
200040418,CC du Pays de Serres en Quercy,82,76,8386
200040426,CC du Val de l'Oise,02,32,15838
200040442,CA Luberon Monts de Vaucluse,84,93,55163
200040459,CA Montélimar Agglomération,26,84,68756
200040475,CC LBN Communauté,72,52,17824
200040491,CC Porte de Dromardèche,"07,26",84,47996
200040509,CC du Crestois et de Pays de Saillans Coeur de Drôme,26,84,16118
200040558,CC Écueillé-Valençay,36,24,10933
200040566,CA de l'Ouest Rhodanien,69,84,50935
200040574,CC Beaujolais Pierres Dorées,69,84,56155
200040590,CA Villefranche Beaujolais Saône,"01,69",84,73717
200040624,CC Pays d'Apt-Luberon,"04,84",93,28347
200040657,CC de la Matheysine,38,84,19010
200040681,CC Enclave des Papes - Pays de Grignan,"26,84","84,93",22626
200040715,Grenoble-Alpes-Métropole,38,84,449509
200040764,CC du Sud Corse,2A,94,21779
200040772,CC du Perche et Haut Vendômois,41,24,9155
200040798,CC Val Vanoise,73,84,9045
200040814,CC Briance Sud Haute Vienne,87,75,9158
200040830,CC du Pays de Fénelon,24,75,9728
200040889,CC de Portes Sud Périgord,24,75,8450
200040905,CC Carmausin-Ségala,81,76,30115
200040947,CA Coeur de Flandre,59,32,102562
200040954,CC des Hauts de Flandre,59,32,53525
200041010,CC Coeur de Savoie,73,84,37780
200041051,CC Vallée de la Dordogne et Forêt Bessède,24,75,8965
200041150,CC Terrassonnais Haut Périgord Noir,24,75,22161
200041168,CC de la Vallée de l'Homme,24,75,15989
200041283,CC de la Plaine du Rhin,67,44,18379
200041317,CA du Niortais,79,75,123389
200041325,CC du Pays Rhénan,67,44,37259
200041333,CC de Parthenay-Gâtine,79,75,36926
200041366,CC Rhône Crussol,07,84,34874
200041416,CC Airvaudais-Val du Thouet,79,75,6913
200041440,CC de Domme- Villefranche du Périgord,24,75,8552
200041465,CC Val Eyrieux,07,84,12291
200041499,CC Aunis Atlantique,17,75,32371
200041515,CC du Bassin de Pont-à-Mousson,54,44,40203
200041523,CC de la Haute Saintonge,17,75,68842
200041556,CC Portes de la Creuse en Marche,23,75,6630
200041572,CC Dronne et Belle,24,75,11393
200041614,CC Aunis Sud,17,75,33181
200041622,CC Ardennes Thiérache,08,44,9464
200041630,CA Ardenne Métropole,08,44,120380
200041689,CC Vals de Saintonge Communauté,17,75,52430
200041721,CC de la Haute Comté,70,27,16798
200041762,CA Rochefort Océan,17,75,64956
200041853,CC du Pays de Montbozon et du Chanois,70,27,6661
200041861,CC du Triangle Vert,70,27,10976
200041879,CC Terres de Saône,70,27,13103
200041887,CC du Val Marnaysien,"25,70",27,14652
200041960,CC Pévèle-Carembault,59,32,98918
200041994,CC Haut Val de Sèvre,79,75,30618
200042000,CC Bruyères-Vallons des Vosges,88,44,14808
200042174,CA Lorient Agglomération,56,53,208113
200042182,CC du Mont des Avaloirs,53,52,15531
200042190,CA de la Porte du Hainaut,59,32,158351
200042372,CC des Coteaux Arrats Gimone,32,76,10784
200042414,CC Bresse Revermont 71,71,27,10001
200042463,CC de la Montagne Noire,11,76,5972
200042497,CC Dombes Saône Vallée,01,84,40893
200042604,"CC de Granville, Terre et Mer",50,28,45480
200042620,CC de la Région de Suippes,51,44,7765
200042646,CC Grand Orb Communauté de Communes en Languedoc,34,76,19955
200042653,CC Sud-Hérault,34,76,18369
200042703,CC de l'Argonne Champenoise,51,44,11667
200042729,CC de la Baie du Cotentin,50,28,22962
200042901,CC Drôme Sud Provence,26,84,43119
200042935,CA Haut-Bugey Agglomération,01,84,63653
200042943,CC du Cap Corse,2B,94,6607
200042992,CC Perthois-Bocage et Der,51,44,5542
200043016,CC Val de Charente,16,75,13776
200043065,CC du Val d'Amboise,37,24,28569
200043081,"CC Chinon, Vienne et Loire",37,24,23735
200043123,CC Auray Quiberon Terre Atlantique,56,53,91034
200043156,CC du Pays Rethélois,08,44,30021
200043172,CA du Bassin de Brive,19,75,108611
200043263,CC Coeur de l'Avesnois,59,32,28870
200043321,CC du Pays de Mormal,59,32,48132
200043354,CC de Villedieu Intercom,50,28,15676
200043396,CA Maubeuge Val de Sambre,59,32,122909
200043404,CC du Sud Avesnois,59,32,24414
200043438,CC de la Moivre à la Coole,51,44,9374
200043495,CA du Pays de Laon,02,32,41771
200043602,"CC des Albères, de la Côte Vermeille et de l'Illibéris",66,76,57632
200043628,CC des Vallées du Clain,86,75,27158
200043693,CC Terre Lorraine du Longuyonnais,54,44,15334
200043776,CC Pyrénées audoises,11,76,13522
200043974,CC du Sud Gironde,33,75,39775
200043982,CC du Bazadais,33,75,15905
200043990,CC Vallons de Haute-Bretagne Communauté,35,53,45066
200044014,CC Creuse Grand Sud,23,75,11509
200044030,CC des 7 Vallées,62,32,29425
200044048,CC Osartis Marquion,62,32,42814
200044253,CC du Bassin de Joinville en Champagne,52,44,12196
200044394,CC du Réolais en Sud Gironde,33,75,24011
200044469,CC du Pays de Mirepoix,09,76,10584
200044618,CA Douaisis Agglo,59,32,148901
200046977,Métropole de Lyon,69,84,1433613
200048551,CC du Pays de Craon,53,52,28594
200049187,CA du Grand Verdun,55,44,27113
200049211,CC Conflent-Canigó,66,76,20918
200049484,CC Berry Grand Sud,18,24,11437
200054781,Métropole du Grand Paris,"75,91,92,93,94,95",11,7115576
200054807,Métropole d'Aix-Marseille-Provence,"13,83,84",93,1922626
200055481,CC Beauce Val de Loire,41,24,19658
200055655,CA Roissy Pays de France,"77,95",11,362933
200055887,CC Mayenne Communauté,53,52,36612
200056232,CA Communauté Paris-Saclay,91,11,319695
200056380,CA Plaine Vallée,95,11,186216
200057859,CA Coeur d'Essonne Agglomération,91,11,208019
200057958,CA Paris - Vallée de la Marne,77,11,232536
200058360,CC Entre Beauce et Perche,28,24,21164
200058477,CA Val d'Yerres Val de Seine,91,11,177954
200058485,CA Val Parisis,95,11,288829
200058519,CA Saint Germain Boucles de Seine,"78,95",11,341547
200058782,CA de Saint Quentin en Yvelines,78,11,233591
200059228,CA Grand Paris Sud Seine Essonne Sénart,"77,91",11,361024
200059392,CC Bièvre Isère,38,84,56117
200059400,CC Porte Océane du Limousin,87,75,25686
200059889,CU Grand Paris Seine et Oise,78,11,433255
200060010,CA Mauges Communauté,49,52,122374
200065563,CC Normandie-Cabourg-Pays d'Auge,14,28,31566
200065589,CC Val ès Dunes,14,28,20565
200065597,CU Caen la Mer,14,28,277248
200065647,CA Pays de Montbéliard Agglomération,25,27,139232
200065787,CC de Pont-Audemer / Val de Risle,27,28,32563
200065886,CA Loire Forez Agglomération (LFA),42,84,112261
200065894,CC de Forez-Est,42,84,64654
200065928,CA Lannion-Trégor Communauté,22,53,100877
200066009,CA Mulhouse Alsace Agglomération,68,44,272950
200066017,CC Lieuvin Pays d'Auge,27,28,20316
200066025,CC Alsace Rhin Brisach,68,44,34031
200066033,CC Sud Alsace Largue,68,44,22331
200066041,CC Sundgau,68,44,47603
200066058,CA Saint-Louis Agglomération,68,44,84055
200066108,CC des Portes de Meuse,55,44,16003
200066116,CC Argonne-Meuse,55,44,6879
200066124,CA Gaillac-Graulhet,81,76,76216
200066132,CC du Pays de Stenay et du Val Dunois,55,44,9430
200066140,CC de l'Aire à l'Argonne,55,44,6382
200066157,CC de Commercy - Void - Vaucouleurs,55,44,21952
200066165,CC Val de Meuse - Voie Sacrée,55,44,8882
200066173,CC de Damvillers Spincourt,55,44,8036
200066223,CC Arize Lèze,09,76,11064
200066231,CC des Portes d'Ariège Pyrénées,09,76,40642
200066280,CC du Pithiverais,45,24,29093
200066322,CC Terres des Confluences,82,76,42367
200066330,CC Terres du Haut Berry,18,24,25976
200066348,CC du Minervois au Caroux,34,76,14372
200066355,CA Sète Agglopôle Méditerranée,34,76,129982
200066363,CC de la Haute Ariège,09,76,7149
200066371,CC Causses et Vallée de la Dordogne,46,76,45320
200066389,CA Saint-Lô Agglo,50,28,76674
200066405,CC Roumois Seine,"27,76",28,41773
200066413,CC Intercom Bernay Terres de Normandie,27,28,54314
200066462,CC Interco Normandie Sud Eure,"27,28","24,28",37606
200066512,CC Élan Limousin Avenir Nature,87,75,27459
200066520,CC Ouest Limousin,87,75,11370
200066553,CC du Haut-Languedoc,"34,81",76,7954
200066561,CC Sidobre Vals et Plateaux,81,76,12437
200066587,CC des Monts du Lyonnais,"42,69",84,35237
200066603,CC du Pays de Lubersac-Pompadour,19,75,6785
200066637,CC Hautes Terres,15,84,11118
200066645,CC Vézère-Monédières-Millesources,19,75,5691
200066652,CC Grand Sud Tarn-et-Garonne,82,76,43301
200066660,CC de Saint-Flour,15,84,23264
200066678,CC de la Châtaigneraie Cantalienne,15,84,21099
200066710,CC Cingal-Suisse Normande,14,28,23506
200066728,CC Vallées de l'Orne et de l'Odon,14,28,26436
200066744,CC Haute-Corrèze Communauté,"19,23",75,31994
200066751,CC Xaintrie Val'Dordogne,19,75,11120
200066769,CC Midi Corrézien,19,75,13215
200066777,CC Ploërmel Communauté,56,53,42842
200066785,CC de l'Oust à Brocéliande,56,53,39885
200066793,CA du Grand Annecy,74,84,211259
200066801,CC Isigny-Omaha Intercom,14,28,26420
200066819,CC du Volvestre,31,76,30806
200066827,CC du Pays de Honfleur-Beuzeville,"14,27",28,27103
200066835,CC de Sézanne-Sud Ouest Marnais,51,44,20917
200066850,CC des Paysages de la Champagne,51,44,20721
200066868,CC Presqu'île de Crozon-Aulne maritime,29,53,22603
200066876,CA de Châlons-en-Champagne,51,44,78298
200066884,CC Quercy Vert-Aveyron,82,76,21707
200066892,CC de Vendeuvre-Soulaines,10,44,7359
200066918,CA Alès Agglomération,30,76,135747
200066926,CA Grand Auch Coeur de Gascogne,32,76,39498
200066975,CC Senlis Sud Oise,60,32,25012
200067023,CC Coutances Mer et Bocage,50,28,47755
200067031,CC Côte Ouest Centre Manche,50,28,22194
200067049,CC Spelunca-Liamone,2A,94,7815
200067064,CC Decazeville Communauté,12,76,17928
200067072,CC Haut-Léon Communauté,29,53,31706
200067080,CC Chablis Villages et Terroirs,89,27,14638
200067106,CA du Pays Basque,64,75,325721
200067114,CA de l'Auxerrois,89,27,68012
200067122,CC du Pays de Lafrançaise,82,76,11246
200067130,CC de Puisaye-Forterre,"58,89",27,33562
200067155,"CC Saint Affricain, Roquefort, Sept Vallons",12,76,13444
200067163,"CC Monts, Rance et Rougier",12,76,6323
200067171,"CC Aubrac, Carladez et Viadène",12,76,9928
200067189,CC Creuse Sud Ouest,23,75,13483
200067197,CC Monts d'Arrée Communauté,29,53,7765
200067205,CA du Cotentin,50,28,178684
200067213,CU du Grand Reims,51,44,297492
200067239,CC des Luys en Béarn,64,75,29307
200067247,CC Pleyben-Châteaulin-Porzay,29,53,22863
200067254,CA Pau Béarn Pyrénées,64,75,166794
200067262,CC du Haut Béarn,64,75,32038
200067288,CC du Béarn des Gaves,64,75,17547
200067296,CC du Nord Est Béarn,64,75,34830
200067304,CC Serein et Armance,89,27,23421
200067320,CC Serre-Ponçon Val d'Avance,"04,05",93,7859
200067346,CA Pornic Agglo Pays de Retz,44,52,69252
200067361,CC Grand-Figeac,"12,46",76,43924
200067379,CC Côtes de Champagne et Val de Saulx,51,44,11385
200067429,CC Haut Nivernais - Val d'Yonne,"58,89",27,11845
200067437,CA Provence-Alpes-Agglomération,04,93,48726
200067445,CC Buëch-Dévoluy,05,93,9597
200067452,CC du Guillestrois et du Queyras,05,93,7955
200067460,CC Loudéac Communauté - Bretagne Centre,22,53,51811
200067478,CC Comtal Lot et Truyère,12,76,19930
200067486,CC Bouzonvillois-Trois Frontières,57,44,24154
200067502,CA Saint-Avold Synergie,57,44,51750
200067544,CC Creuse Confluence,23,75,16479
200067551,CA Thonon Agglomération,74,84,94873
200067593,CC Marche et Combraille en Aquitaine,23,75,13041
200067627,CC Billom Communauté,63,84,26098
200067635,CA Clisson Sèvre et Maine Agglo,44,52,57167
200067643,CC Meurthe Mortagne Moselle,54,44,16456
200067650,CC Houve - Pays Boulageois,57,44,22769
200067668,"CC de la Cléry, du Betz et de l'Ouanne","45,89","24,27",20042
200067676,CC Canaux et Forêts en Gâtinais,45,24,27348
200067684,"CA Epernay, Coteaux et Plaine de Champagne",51,44,46800
200067692,CC Tannay-Brinon-Corbigny,58,27,9394
200067700,CC Sud Nivernais,58,27,19771
200067742,CC Serre-Ponçon,"04,05",93,16945
200067759,CC Vallées et Plateau d'Ardenne,08,44,23974
200067767,CC du Royans-Vercors,26,84,9733
200067783,CC de Hanau-La Petite Pierre,67,44,26172
200067791,CA L'Agglo Foix-Varilhes,09,76,32542
200067817,CC Saône-Beaujolais,69,84,45642
200067825,CA Gap-Tallard-Durance,"04,05",93,50743
200067841,CC de l'Alsace Bossue,67,44,23966
200067866,CC Sèvre et Loire,44,52,49940
200067874,CA de Haguenau,67,44,99129
200067882,CC Bazois Loire Morvan,58,27,15029
200067890,CC Morvan Sommets et Grands Lacs,58,27,12039
200067908,CC Amognes Coeur du Nivernais,58,27,8527
200067916,CC Coeur de Loire,58,27,25204
200067924,CC du Canton d'Erstein,67,44,49088
200067932,CA Golfe du Morbihan - Vannes Agglomération,56,53,177719
200067940,CC Couserans-Pyrénées,09,76,30003
